file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP2,0.0,28.6474375,mfa_data,-51.30927137870855,-50.24983527443626,1.767764142837157,8.006907447713584
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,mfa_data,-45.8788307425902,-61.241729736328125,1.1547005385136764,10.204917084534811
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,mfa_data,-45.005078125,-61.263675689697266,0.5773502690552009,8.695247079434115
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,mfa_data,-44.42894029963681,-64.59961700439453,0.5773502690552009,6.512234741967706
F2BJRLP1,0.0,25.309125,mfa_data,-51.97436166534966,-65.83135223388672,0.35351573912852124,8.655209303881037
F2BJRLP3,0.0,30.7068125,mfa_data,,,,
